time,Voltage (V)
1574183577.3148618,2.7712097
1574183578.6823127,2.7711517
1574183580.0508368,2.7710999
1574183581.4165068,2.7710444
1574183582.7842102,2.7710053
1574183584.1516702,2.7709472
1574183585.5187228,2.770898
1574183586.886052,2.7708589
1574183588.253013,2.7707957
1574183589.6209369,2.7707415
1574183590.9951854,2.7706796
1574183592.3635952,2.7706279
1574183593.7313771,2.7705711
1574183595.098457,2.7705282
1574183596.4641087,2.770489
1574183597.8409896,2.7704398
1574183599.208709,2.7703881
1574183600.5770876,2.7703552
1574183601.9461176,2.7702909
1574183603.3133578,2.7702341
1574183604.680057,2.7701848
1574183606.047816,2.7701369
1574183607.4151795,2.7700776
1574183608.7822645,2.7700258
1574183610.1491957,2.7699829
1574183611.5165527,2.7699248
1574183612.8818681,2.7698718
1574183614.2478113,2.7698289
1574183615.6137419,2.7697898
1574183616.9803123,2.769733
1574183618.3561862,2.7696863
1574183619.7238078,2.7696408
1574183621.0915918,2.769584
1574183622.4575894,2.7695247
1574183623.8256397,2.7694906
1574183625.1925306,2.7694401
1574183626.5602272,2.769396
1574183627.9266877,2.769343
1574183629.2947273,2.7693051
1574183630.6634078,2.7692773
1574183632.0297935,2.7692193
1574183633.39541,2.7691965
1574183634.7712257,2.7691385
1574183636.138662,2.7690779
1574183637.5073044,2.7690262
1574183638.8748868,2.7689706
1574183640.2423005,2.7689252
1574183641.6097035,2.7688987
1574183643.0087776,2.768828
1574183644.3749156,2.7687825
1574183645.7416837,2.7687447
1574183647.1098914,2.768703
1574183648.4777565,2.7686589
1574183649.845963,2.7686273
1574183651.212828,2.768573
1574183652.5819583,2.7685314
1574183653.9477062,2.7684809
1574183655.3137274,2.7684304
1574183656.6797628,2.7683799
1574183658.0453348,2.7683332
1574183659.413068,2.7682953
1574183660.7810028,2.7682587
1574183662.1481385,2.7682095
1574183663.5135772,2.7681515
1574183664.8798404,2.7681123
1574183666.247197,2.7680782
1574183667.6148314,2.7680126
1574183668.98281,2.7679558
1574183670.3486688,2.7679091
1574183671.7167222,2.76787
1574183673.0839665,2.7678069
1574183674.45107,2.7677652
1574183675.8181715,2.7677135
1574183677.1849425,2.7676706
1574183678.5519063,2.7676163
1574183679.919175,2.7675759
1574183681.2860966,2.7675355
1574183682.6531107,2.7674825
1574183684.0203855,2.7674345
1574183685.3868234,2.7673765
1574183686.7551126,2.7673424
1574183688.1251903,2.7672969
1574183689.4921575,2.767249
1574183690.8602586,2.7671985
1574183692.2419124,2.7671442
1574183693.6091857,2.7671076
1574183694.9745665,2.7670609
1574183696.342485,2.7670117
1574183697.709665,2.76697
1574183699.076502,2.7669233
1574183700.4425373,2.7668829
1574183701.807819,2.7668438
1574183703.1758583,2.7667959
1574183704.5412757,2.7667555
1574183705.9082367,2.7667214
1574183707.274941,2.766681
1574183708.6426275,2.7666381
1574183710.0085268,2.7665851
1574183711.3763149,2.7665548
1574183712.7443347,2.7665056
